170,458948.873,177597.762,2.268,4
171,458948.762,177598.521,2.088,S        
172,458955.781,177599.713,2.114,S        
173,458955.932,177599.181,2.268,4
174,458966.66,177603.071,2.381,4
175,458966.275,177603.744,2.093,S        
176,458976.25,177606.842,2.047,S        
177,458980.187,177606.575,2.071,S        
178,458976.045,177605.744,2.567,4
179,458979.657,177605.786,2.6,4
180,458976.738,177604.389,2.715,4
181,458971.541,177602.78,2.474,4
182,458966.669,177601.315,2.453,4
183,458956.341,177597.297,2.297,4
184,458941.192,177591.368,2.251,4
185,458931.974,177587.156,2.231,4
186,458927.037,177598.043,2.458,4-       
187,458920.13,177593.823,2.442,4-       
188,458922.46,177583.132,2.268,4-       
189,458909.124,177578.629,2.319,4
190,458904.898,177588.048,2.347,4-       
191,458904.422,177589.649,2.691,-        
192,458889.829,177584.954,2.713,-        
193,458890.38,177582.999,2.36,4-       
194,458892.336,177572.846,2.318,4
195,458878.774,177569.756,2.326,4
196,458868.654,177567.499,2.248,4
197,458874.365,177578.082,2.421,4-       
198,458874.026,177579.188,2.714,-        
199,458864.263,177575.573,2.751,-        
200,458864.736,177573.542,2.333,4-       
201,458858.005,177572.597,2.298,4-       
202,458854.263,177574.705,2.302,4-       
203,458848.789,177575.665,2.169,4-       
204,458846.433,177570.396,2.327,4-       
205,458841.47,177564.993,2.321,4-       
206,458844.115,177570.742,2.184,S        
207,458962.283,177598.221,3.503,A3       
208,458974.492,177602.067,3.489,A3       
209,458984.474,177605.76,3.563,A3       
210,458823.106,177509.663,4.822,J1       
211,458821.938,177510.012,5.334,J2       
212,458821.116,177510.025,5.388,J3       
213,458822.938,177517.118,5.26,J3       
214,458824.074,177516.851,5.289,J2       
215,458825.78,177516.613,4.879,J1       
216,458827.863,177527.352,4.866,J1       
217,458826.584,177527.852,5.308,J2       
218,458825.903,177528.014,5.262,J3       
219,458829.452,177537.693,5.232,J3       
220,458830.239,177537.514,5.437,J2       
221,458831.295,177537.247,4.901,J1       
222,458833.366,177542.508,4.889,J1       
223,458835.896,177547.418,4.912,J1       
224,458838.312,177550.998,4.915,J1       
225,458840.43,177553.747,5.076,J1       
226,458842.855,177555.002,4.971,J1       
227,458848.028,177555.494,4.875,J1       
228,458831.568,177543.535,5.374,J3       
229,458832.328,177543.339,5.466,J2       
230,458834.992,177548.334,5.489,J2       
231,458834.066,177548.926,5.551,J3       
232,458836.641,177552.968,5.647,J3       
233,458837.196,177552.764,5.593,J2       
234,458840.468,177555.236,5.455,J2       
235,458840.143,177556.209,5.454,J3       
236,458842.301,177556.627,5.476,J3       
237,458842.412,177555.776,5.522,J2       
238,458841.986,177554.909,4.655,D500     
239,458840.892,177558.923,4.121,D500     
240,458847.85,177556.942,5.428,J2       
241,458847.562,177557.847,5.351,J3       
242,458866.569,177560.507,5.532,J3       
243,458866.616,177559.829,5.561,J2       
244,458866.857,177558.727,4.897,J1       
245,458838.189,177558.389,3.91,J4       
246,458843.324,177561.287,3.468,J4       
247,458852.384,177562.735,3.657,J4       
248,458860.997,177564.294,3.684,J4       
249,458869.355,177565.704,3.835,J4       
250,458880.589,177568.404,3.749,J4       
251,458898.116,177573.194,3.894,J4       
252,458906.524,177575.487,3.928,J4       
253,458917.142,177579.057,3.841,J4       
254,458930.343,177584.721,3.812,J4       
255,458944.314,177590.629,3.941,J4       
256,458872.887,177559.983,4.935,J1       
257,458872.685,177560.999,5.511,J2       
258,458872.416,177561.881,5.474,J3       
259,458886.996,177565.575,5.44,J3       
260,458887.228,177564.692,5.532,J2       
261,458887.458,177563.709,4.898,J1       
262,458898.011,177566.437,5.038,J1       
263,458899.359,177566.184,4.964,J1       
264,458901.919,177562.787,4.897,J1       
265,458904.058,177564.128,5.047,J1       
266,458901.966,177567.202,5.046,J1       
267,458902.331,177568.12,5.076,J1       
268,458905.556,177569.161,5.064,J1       
269,458908.232,177570.07,5.03,J1       
270,458911.48,177571.166,5.072,J1       
271,458898.867,177568.887,5.325,J3       
272,458901.384,177569.601,5.303,J3       
273,458906.101,177570.86,5.36,J3       
274,458910.577,177572.541,5.28,J3       
275,458898.544,177567.799,5.413,J2       
276,458899.274,177568.045,5.416,J2       
277,458902.19,177568.992,5.418,J2       
278,458906.441,177570.292,5.332,J2       
